,group1,group2,meandiff,p-adj,lower,upper,reject
0,Affricate,Epenthetic,0.0356,0.0003,0.0103,0.0608,True
1,Affricate,Flap,0.0295,0.0073,0.0043,0.0548,True
2,Affricate,Fricative,-0.0263,0.0325,-0.0515,-0.0011,True
3,Affricate,Glide,-0.0401,0.0,-0.0653,-0.0149,True
4,Affricate,Glottal Stop,-0.049,0.0,-0.0742,-0.0237,True
5,Affricate,Liquid,-0.0418,0.0,-0.067,-0.0166,True
6,Affricate,Nasal,-0.0094,0.9871,-0.0346,0.0158,False
7,Affricate,Silence,0.0086,0.9937,-0.0166,0.0339,False
8,Affricate,Stop,0.0491,0.0,0.0239,0.0744,True
9,Affricate,Syllabic Consonant,-0.0309,0.0037,-0.0561,-0.0057,True
10,Affricate,Vowel,-0.0508,0.0,-0.0761,-0.0256,True
11,Epenthetic,Flap,-0.006,0.9998,-0.0312,0.0192,False
12,Epenthetic,Fricative,-0.0618,0.0,-0.0871,-0.0366,True
13,Epenthetic,Glide,-0.0756,0.0,-0.1009,-0.0504,True
14,Epenthetic,Glottal Stop,-0.0845,0.0,-0.1097,-0.0593,True
15,Epenthetic,Liquid,-0.0774,0.0,-0.1026,-0.0522,True
16,Epenthetic,Nasal,-0.045,0.0,-0.0702,-0.0198,True
17,Epenthetic,Silence,-0.0269,0.0246,-0.0521,-0.0017,True
18,Epenthetic,Stop,0.0136,0.8378,-0.0116,0.0388,False
19,Epenthetic,Syllabic Consonant,-0.0665,0.0,-0.0917,-0.0413,True
20,Epenthetic,Vowel,-0.0864,0.0,-0.1116,-0.0612,True
21,Flap,Fricative,-0.0558,0.0,-0.081,-0.0306,True
22,Flap,Glide,-0.0696,0.0,-0.0949,-0.0444,True
23,Flap,Glottal Stop,-0.0785,0.0,-0.1037,-0.0533,True
24,Flap,Liquid,-0.0714,0.0,-0.0966,-0.0461,True
25,Flap,Nasal,-0.039,0.0,-0.0642,-0.0137,True
26,Flap,Silence,-0.0209,0.2194,-0.0461,0.0043,False
27,Flap,Stop,0.0196,0.3141,-0.0056,0.0448,False
28,Flap,Syllabic Consonant,-0.0605,0.0,-0.0857,-0.0352,True
29,Flap,Vowel,-0.0804,0.0,-0.1056,-0.0552,True
30,Fricative,Glide,-0.0138,0.8215,-0.039,0.0114,False
31,Fricative,Glottal Stop,-0.0227,0.1263,-0.0479,0.0025,False
32,Fricative,Liquid,-0.0155,0.6801,-0.0408,0.0097,False
33,Fricative,Nasal,0.0169,0.5577,-0.0084,0.0421,False
34,Fricative,Silence,0.0349,0.0004,0.0097,0.0601,True
35,Fricative,Stop,0.0754,0.0,0.0502,0.1006,True
36,Fricative,Syllabic Consonant,-0.0046,1.0,-0.0299,0.0206,False
37,Fricative,Vowel,-0.0246,0.0644,-0.0498,0.0006,False
38,Glide,Glottal Stop,-0.0089,0.992,-0.0341,0.0163,False
39,Glide,Liquid,-0.0017,1.0,-0.027,0.0235,False
40,Glide,Nasal,0.0307,0.0042,0.0054,0.0559,True
41,Glide,Silence,0.0487,0.0,0.0235,0.0739,True
42,Glide,Stop,0.0892,0.0,0.064,0.1144,True
43,Glide,Syllabic Consonant,0.0092,0.9897,-0.0161,0.0344,False
44,Glide,Vowel,-0.0108,0.964,-0.036,0.0145,False
45,Glottal Stop,Liquid,0.0071,0.9988,-0.0181,0.0324,False
46,Glottal Stop,Nasal,0.0395,0.0,0.0143,0.0648,True
47,Glottal Stop,Silence,0.0576,0.0,0.0324,0.0828,True
48,Glottal Stop,Stop,0.0981,0.0,0.0729,0.1233,True
49,Glottal Stop,Syllabic Consonant,0.018,0.4458,-0.0072,0.0433,False
50,Glottal Stop,Vowel,-0.0019,1.0,-0.0271,0.0233,False
51,Liquid,Nasal,0.0324,0.0017,0.0072,0.0576,True
52,Liquid,Silence,0.0505,0.0,0.0252,0.0757,True
53,Liquid,Stop,0.091,0.0,0.0657,0.1162,True
54,Liquid,Syllabic Consonant,0.0109,0.9603,-0.0143,0.0361,False
55,Liquid,Vowel,-0.009,0.9909,-0.0342,0.0162,False
56,Nasal,Silence,0.018,0.4458,-0.0072,0.0433,False
57,Nasal,Stop,0.0585,0.0,0.0333,0.0838,True
58,Nasal,Syllabic Consonant,-0.0215,0.1847,-0.0467,0.0037,False
59,Nasal,Vowel,-0.0414,0.0,-0.0666,-0.0162,True
60,Silence,Stop,0.0405,0.0,0.0153,0.0657,True
61,Silence,Syllabic Consonant,-0.0395,0.0,-0.0648,-0.0143,True
62,Silence,Vowel,-0.0595,0.0,-0.0847,-0.0343,True
63,Stop,Syllabic Consonant,-0.08,0.0,-0.1053,-0.0548,True
64,Stop,Vowel,-0.1,0.0,-0.1252,-0.0748,True
65,Syllabic Consonant,Vowel,-0.0199,0.2876,-0.0451,0.0053,False
